ym,TOPIX,KYTB,TKYD,KNSD
3-Sep,1018.8,2960,2390,1908
3-Oct,1043.36,2905,2345,1900
3-Nov,999.75,2945,2270,1834
3-Dec,1043.69,3020,2350,1878
4-Jan,1047.51,2710,2400,1958
4-Feb,1082.47,2775,2400,1980
4-Mar,1179.23,3200,2355,1969
4-Apr,1186.31,3575,2365,1931
4-May,1139.94,3645,2410,1945
4-Jun,1189.6,3840,2475,1989
4-Jul,1139.3,3550,2525,2030
4-Aug,1129.55,3610,2525,2010
4-Sep,1102.11,3575,2370,1943
4-Oct,1085.43,3900,2400,1988
4-Nov,1098.79,4315,2460,2000
4-Dec,1149.63,4550,2515,2080
5-Jan,1146.14,4470,2470,2010
5-Feb,1177.41,4445,2560,2085
5-Mar,1182.18,4625,2600,2150
5-Apr,1129.93,4425,2520,2110
5-May,1144.33,4570,2545,2110
5-Jun,1177.2,4715,2645,2230
5-Jul,1204.98,4640,2690,2370
5-Aug,1271.29,4880,2720,2355
5-Sep,1412.28,5680,2870,2505
5-Oct,1444.73,6405,2885,2555
5-Nov,1536.21,6625,2880,2550
5-Dec,1649.76,7125,2865,2535
6-Jan,1710.77,7005,2950,2635
6-Feb,1660.42,6830,3140,2705
6-Mar,1728.16,7100,2935,2615
6-Apr,1716.43,6595,2925,2665
6-May,1579.94,5780,3080,2675
6-Jun,1586.96,6175,3160,2560
6-Jul,1572.01,5920,3080,2640
6-Aug,1634.46,6105,3350,2815
6-Sep,1610.73,5970,3400,2725
6-Oct,1617.42,6005,3400,2760
6-Nov,1603.03,5505,3610,2890
6-Dec,1681.07,5550,3850,3210
7-Jan,1721.96,6275,4110,3380
7-Feb,1752.74,6635,4130,3520
7-Mar,1713.61,6765,4030,3390
7-Apr,1701,6950,3980,3360
7-May,1755.68,7110,4050,3060
7-Jun,1774.88,7385,3960,2915
7-Jul,1706.18,8060,3170,2645
7-Aug,1608.25,6905,3040,2705
7-Sep,1616.62,6965,2900,2625
7-Oct,1620.07,7325,2920,2590
7-Nov,1531.88,7075,3030,2850
7-Dec,1475.68,6630,2890,2605
8-Jan,1346.31,6335,2760,2660
8-Feb,1324.28,6110,2695,2560
8-Mar,1212.96,6060,2665,2480
8-Apr,1358.65,6625,2645,2475
8-May,1408.14,6360,2570,2325
8-Jun,1320.1,5545,2730,2485
8-Jul,1303.62,5655,2975,2515
8-Aug,1254.71,5735,3120,2680
8-Sep,1087.41,5250,2590,2350
